5.842440 0.000000 0.000000
0.000000 5.842440 0.000000
-2.921220 -2.921220 5.842440
0.000000 -3.000000 0.000000
3.000000 0.000000 0.000000
0.000000 0.000000 3.000000
3.000000 -2.000000 3.000000 Ag
1.000000 -2.000000 3.000000 Cu
2.000000 -2.000000 3.000000 Ag
3.000000 -1.000000 3.000000 Ag
1.000000 -1.000000 3.000000 Cu
2.000000 -1.000000 3.000000 Ag
3.000000 -3.000000 3.000000 Ag
1.000000 -3.000000 3.000000 Ag
2.000000 -3.000000 3.000000 Ag
3.000000 -2.000000 1.000000 Cu
1.000000 -2.000000 1.000000 Ag
2.000000 -2.000000 1.000000 Ag
3.000000 -1.000000 1.000000 Ag
1.000000 -1.000000 1.000000 Ag
2.000000 -1.000000 1.000000 Ag
3.000000 -3.000000 1.000000 Cu
1.000000 -3.000000 1.000000 Cu
2.000000 -3.000000 1.000000 Ag
3.000000 -2.000000 2.000000 Cu
1.000000 -2.000000 2.000000 Ag
2.000000 -2.000000 2.000000 Ag
3.000000 -1.000000 2.000000 Ag
1.000000 -1.000000 2.000000 Ag
2.000000 -1.000000 2.000000 Ag
3.000000 -3.000000 2.000000 Ag
1.000000 -3.000000 2.000000 Cu
2.000000 -3.000000 2.000000 Ag
0.250000 -1.250000 0.500000 Ag
1.250000 -1.250000 0.500000 Ag
2.250000 -1.250000 0.500000 Ag
0.250000 -0.250000 0.500000 Ag
1.250000 -0.250000 0.500000 Cu
2.250000 -0.250000 0.500000 Ag
0.250000 -2.250000 0.500000 Cu
1.250000 -2.250000 0.500000 Ag
2.250000 -2.250000 0.500000 Cu
0.250000 -1.250000 1.500000 Cu
1.250000 -1.250000 1.500000 Ag
2.250000 -1.250000 1.500000 Ag
0.250000 -0.250000 1.500000 Cu
1.250000 -0.250000 1.500000 Ag
2.250000 -0.250000 1.500000 Ag
0.250000 -2.250000 1.500000 Ag
1.250000 -2.250000 1.500000 Ag
2.250000 -2.250000 1.500000 Cu
0.250000 -1.250000 2.500000 Cu
1.250000 -1.250000 2.500000 Cu
2.250000 -1.250000 2.500000 Ag
0.250000 -0.250000 2.500000 Cu
1.250000 -0.250000 2.500000 Cu
2.250000 -0.250000 2.500000 Cu
0.250000 -2.250000 2.500000 Ag
1.250000 -2.250000 2.500000 Ag
2.250000 -2.250000 2.500000 Ag
0.500000 -1.500000 3.000000 In
1.500000 -1.500000 3.000000 In
2.500000 -1.500000 3.000000 In
0.500000 -0.500000 3.000000 Ga
1.500000 -0.500000 3.000000 Ga
2.500000 -0.500000 3.000000 Ga
0.500000 -2.500000 3.000000 Ga
1.500000 -2.500000 3.000000 In
2.500000 -2.500000 3.000000 Ga
0.500000 -1.500000 1.000000 In
1.500000 -1.500000 1.000000 Ga
2.500000 -1.500000 1.000000 In
0.500000 -0.500000 1.000000 Ga
1.500000 -0.500000 1.000000 Ga
2.500000 -0.500000 1.000000 In
0.500000 -2.500000 1.000000 Ga
1.500000 -2.500000 1.000000 Ga
2.500000 -2.500000 1.000000 Ga
0.500000 -1.500000 2.000000 Ga
1.500000 -1.500000 2.000000 Ga
2.500000 -1.500000 2.000000 Ga
0.500000 -0.500000 2.000000 In
1.500000 -0.500000 2.000000 In
2.500000 -0.500000 2.000000 In
0.500000 -2.500000 2.000000 Ga
1.500000 -2.500000 2.000000 In
2.500000 -2.500000 2.000000 Ga
0.750000 -1.750000 0.500000 Ga
1.750000 -1.750000 0.500000 Ga
2.750000 -1.750000 0.500000 In
0.750000 -0.750000 0.500000 In
1.750000 -0.750000 0.500000 In
2.750000 -0.750000 0.500000 Ga
0.750000 -2.750000 0.500000 Ga
1.750000 -2.750000 0.500000 Ga
2.750000 -2.750000 0.500000 Ga
0.750000 -1.750000 1.500000 Ga
1.750000 -1.750000 1.500000 Ga
2.750000 -1.750000 1.500000 In
0.750000 -0.750000 1.500000 Ga
1.750000 -0.750000 1.500000 Ga
2.750000 -0.750000 1.500000 Ga
0.750000 -2.750000 1.500000 Ga
1.750000 -2.750000 1.500000 Ga
2.750000 -2.750000 1.500000 Ga
0.750000 -1.750000 2.500000 Ga
1.750000 -1.750000 2.500000 Ga
2.750000 -1.750000 2.500000 Ga
0.750000 -0.750000 2.500000 Ga
1.750000 -0.750000 2.500000 In
2.750000 -0.750000 2.500000 Ga
0.750000 -2.750000 2.500000 Ga
1.750000 -2.750000 2.500000 In
2.750000 -2.750000 2.500000 In
0.375000 -1.625000 0.250000 Se
1.375000 -1.625000 0.250000 Se
2.375000 -1.625000 0.250000 Se
0.375000 -0.625000 0.250000 Se
1.375000 -0.625000 0.250000 Se
2.375000 -0.625000 0.250000 Se
0.375000 -2.625000 0.250000 Se
1.375000 -2.625000 0.250000 Se
2.375000 -2.625000 0.250000 Se
0.375000 -1.625000 1.250000 Se
1.375000 -1.625000 1.250000 Se
2.375000 -1.625000 1.250000 Se
0.375000 -0.625000 1.250000 Se
1.375000 -0.625000 1.250000 Se
2.375000 -0.625000 1.250000 Se
0.375000 -2.625000 1.250000 Se
1.375000 -2.625000 1.250000 Se
2.375000 -2.625000 1.250000 Se
0.375000 -1.625000 2.250000 Se
1.375000 -1.625000 2.250000 Se
2.375000 -1.625000 2.250000 Se
0.375000 -0.625000 2.250000 Se
1.375000 -0.625000 2.250000 Se
2.375000 -0.625000 2.250000 Se
0.375000 -2.625000 2.250000 Se
1.375000 -2.625000 2.250000 Se
2.375000 -2.625000 2.250000 Se
0.875000 -1.125000 0.250000 Se
1.875000 -1.125000 0.250000 Se
2.875000 -1.125000 0.250000 Se
0.875000 -0.125000 0.250000 Se
